#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing),,,,,,,,,,,,,,,,,,,,,,,
,alsa-utils,"is an audio interface for ALSA."
,conky,"is a system monitor."
,dosfstools,"allows your computer to access dos-like filesystems."
,dunst,"is a suckless notification system"
,feh,"is a fast and light imlib2-based image viewer."
,flameshot,"is an awesome screen shot capture tool."
,htop,"is a better version of top"
,i3-gaps,"is the main graphical user interface and window manager."
,i3blocks,"is the status bar."
A,i3lock-fancy-git,"is a lock script for i3."
,kitty,"is the terminal."
,lightdm-gtk-greeter-settings,"is the display manager."
,lxappearance-gtk3,"is a UI that helps customize the appearance."
,man,"is the manual command."
A,matcha-gtk-theme,"is the GTK theme."
,neovim,"a tidier vim with some useful features."
,network-manager-applet,"is an applet for NetworkManager."
,networkmanager,"is a client to manage network connections."
A,nodejs,"is necessary for coc.nvim to work."
,noto-fonts,"is a font for polybar."
,npm,""
,numlockx,"enables numlock when X is started."
,papirus-icon-theme,"is the icon pack."
,pavucontrol,"is a GUI control panel for pulseaudio."
,picom,"is a standalone compositor for Xorg."
A,polybar,"is an alternative status bar."
,pulseaudio,"is a general purpose sound server intended to run as a middleware between your applications and your hardware devices."
P,pynvim,"is a dependency for semshi (vim plugin)."
,python-pip,"is the python package manager."
,python-pynvim,"is a dependency for editing python in vim."
,ranger,"is a vim-like file explorer."
,rofi,"is a dmenu."
,stow,"a tool used here to manage dotfiles."
,tree,"is a command to display teh folders content recursively."
,ttf-dejavu,"is the system font."
,udiskie,"automatically mounts drives."
,unzip,"extracts .zip archives."
A,vim-plug,"is the plugin manager for vim."
,w3m,"enables image preview in ranger file browser."
,wget,"is a tool to download files from the command line."
A,xcursor-breeze,"is the mouse cursor."
,xorg-server,"is the graphical server."
,xorg-xinit,"starts the graphical server."
,xorg-xkill,"lets kill a process by clicking on its window."
,xorg-xprop,"is a tool for detecting window properties."
,xorg-xset,"is a tool for increasing key speed."
,xorg-xrandr,"is the CLI tool to manage displays."
,xwallpaper,"sets the wallpaper."
,zsh,"is a highly costumizable shell."
,zsh-syntax-highlighting,"provides fish-like syntax highlighting in the shell."
